mode,signal_mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
coarse,full,1321.T,1,1.5,1.0,0.6,0.01,0.01,60,5,9,1,15,0.3333333333333333,0.8333333333333334,0.7490007993605117,-0.16746666666666665,0,2,0,5,0,5,0.0,0.0,0.0,-1.0008,0,2
coarse,full,1357.T,5,1.5,1.5,0.4,0.03,0.01,60,10,5,1,16,0.625,2.0,1.6648898365316278,0.3742000000000001,0,2,2,2,0,4,0.5,1.0,0.9989339019189767,-0.0007999999999999119,0,2
coarse,full,1360.T,1,1.5,2.0,0.4,0.05,0.03,60,5,9,1,15,0.3333333333333333,0.4166666666666667,0.3746501399440224,-0.8341333333333334,0,2,1,4,1,6,0.16666666666666666,0.1875,0.14986005597760896,-1.4174666666666667,0,2
coarse,full,1458.T,1,1.5,1.0,0.4,0.05,0.01,60,3,6,1,10,0.3,0.75,0.6420006851661529,-0.25079999999999986,0,2,1,3,0,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
coarse,full,1540.T,3,1.5,1.0,0.4,0.05,0.01,60,8,12,1,21,0.38095238095238093,1.0,0.9218471376744759,-0.048419047619047584,0,2,5,1,0,6,0.8333333333333334,7.5,7.4900079936051185,1.0825333333333336,1,2
coarse,full,1541.T,3,1.5,1.0,0.4,0.01,0.01,60,2,0,2,4,0.5,999.0,1.4980015987210233,0.2492000000000001,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,2
coarse,full,1542.T,1,1.5,1.5,0.4,0.01,0.03,60,2,0,1,3,0.6666666666666666,999.0,1.997867803837953,0.4992,0,2,0,3,0,3,0.0,0.0,0.0,-1.5008,0,2
coarse,full,1570.T,1,1.5,1.0,0.4,0.01,0.01,60,3,20,1,24,0.125,0.225,0.21400022838871763,-0.6882999999999999,0,2,1,6,0,7,0.14285714285714285,0.25,0.24966693312017055,-0.6436571428571428,0,2
coarse,full,1579.T,3,1.5,1.0,0.4,0.01,0.03,60,4,6,1,11,0.36363636363636365,1.0,0.8560009135548705,-0.09170909090909085,0,2,3,3,0,6,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
coarse,full,1605.T,1,1.5,1.0,0.4,0.03,0.01,60,2,17,0,19,0.10526315789473684,0.17647058823529413,0.17623548220247334,-0.7376421052631578,0,2,1,6,0,7,0.14285714285714285,0.25,0.24966693312017055,-0.6436571428571428,0,2
coarse,full,1802.T,5,1.2,1.0,0.4,0.01,0.01,60,3,0,0,3,1.0,999.0,999.0,1.1992,0,2,0,0,1,1,0.0,0.0,0.0,-1.0008,0,2
coarse,full,1803.T,1,1.2,1.0,0.4,0.01,0.01,60,0,0,1,1,0.0,0.0,0.0,-1.0008,0,2,0,1,0,1,0.0,0.0,0.0,-1.0008,0,2
coarse,full,1812.T,1,1.5,1.0,0.4,0.01,0.03,60,1,3,0,4,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,2
coarse,full,186A.T,3,1.5,1.0,0.4,0.05,0.01,60,3,6,0,9,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2,3,2,0,5,0.6,2.25,2.2470023980815346,0.4992,0,2
coarse,full,1911.T,1,1.2,1.0,0.4,0.01,0.01,60,0,7,2,9,0.0,0.0,0.0,-1.0008,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,2
coarse,full,1925.T,1,1.5,1.0,0.4,0.01,0.01,60,5,3,3,11,0.45454545454545453,2.5,1.248334665600853,0.13556363636363644,0,2,1,1,3,5,0.2,1.5,0.37450039968025584,-0.5007999999999999,0,2
coarse,full,1928.T,1,1.5,1.0,0.4,0.01,0.01,60,2,2,3,7,0.2857142857142857,1.5,0.5992006394884093,-0.2865142857142857,0,2,0,0,2,2,0.0,0.0,0.0,-1.0008,0,2
coarse,full,1942.T,5,1.2,1.0,0.4,0.01,0.01,60,1,3,4,8,0.125,0.39999999999999997,0.17117734383921437,-0.7257999999999999,0,2,0,8,2,10,0.0,0.0,0.0,-1.0008,0,2
