code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
4571.T,,4571,ＮＡＮＯＭＲＮＡ,0,東Ｇ,信用,▲,238,50,26.60%,"17,524,900",186,238,182,10:51,〇,0.1,-,0
3856.T,,3856,Ａｂａｌａｎｃｅ,0,東Ｓ,信用,▲,978,150,18.12%,"769,300",830,978,830,11:08,〇,2.2,-,"3,600"
8995.T,,8995,誠建設工業,0,東Ｓ,信用,▲,887,106,13.57%,"41,900",781,894,781,11:26,〇,0.8,-,0
228A.T,,228A,オプロ,0,東Ｇ,信用,▲,"2,424.00",244,11.19%,"49,000","2,141.00","2,432.00","2,097.00",11:29,〇,1.5,-,"1,200"
186A.T,,186A,アストロスケールホールディンク,0,東Ｇ,貸借,▲,860,108,14.36%,"6,793,000",767,862,756,11:30,〇,1.1,-,"42,300"
7525.T,,7525,リックス,0,東Ｐ,貸借,▲,"3,675.00",385,11.70%,"65,100","3,290.00","3,715.00","3,290.00",11:30,〇,-,-,"3,200"
338A.T,,338A,ＺＥＮＭＵＴＥＣＨ,0,東Ｇ,信用,▲,"7,650.00",850,12.50%,"241,500","6,900.00","7,690.00","6,700.00",11:30,〇,18.1,-,"1,900"
6736.T,,6736,サン電子,0,東Ｓ,貸借,▼,"11,930.00",820,7.38%,"215,700","10,770.00","11,960.00","10,770.00",11:30,〇,-,-,"2,300"
7711.T,,7711,助川電気工業,0,東Ｓ,信用,▲,"7,960.00","1,000.00",14.37%,"2,103,700","7,210.00","7,960.00","7,140.00",10:51,〇,9.6,-,0
7375.T,,7375,リファインバースグループ,0,東Ｇ,信用,▲,"1,031.00",96,10.27%,"18,100",934,"1,045.00",934,11:30,〇,0.5,-,500
3697.T,,3697,ＳＨＩＦＴ,0,東Ｐ,貸借,▲,"1,260.00",30,2.44%,"8,274,100","1,148.00","1,260.00","1,121.50",11:30,〇,-,-,0
9227.T,,9227,マイクロ波化学,0,東Ｇ,貸借,▲,824,79,10.60%,"1,720,300",751,865,735,11:30,〇,1.8,0.05,"8,400"
9704.T,,9704,アゴーラホスピタリティーＧ,0,東Ｓ,信用,▲,58,6,11.54%,"2,804,300",53,58,53,11:28,〇,0.1,-,0
4586.T,,4586,メドレックス,0,東Ｇ,信用,▼,145,14,10.69%,"5,253,200",133,148,132,11:30,〇,0.2,-,"32,800"
1376.T,,1376,カネコ種苗,0,東Ｓ,信用,▼,"1,850.00",123,7.12%,"41,600","1,701.00","1,854.00","1,681.00",11:29,〇,0.1,-,"3,500"
3692.T,,3692,ＦＦＲＩセキュリティ,0,東Ｇ,貸借,▲,"10,240.00",960,10.34%,"842,400","9,430.00","10,280.00","9,280.00",11:30,〇,32.8,0.35,0
5595.T,,5595,ＱＰＳ研究所,0,東Ｇ,貸借,▲,"1,927.00",170,9.68%,"2,035,200","1,779.00","1,930.00","1,772.00",11:30,〇,5,-,"12,200"
7985.T,,7985,ネポン,0,東Ｓ,信用,▼,"1,732.00",137,8.59%,"6,100","1,601.00","1,835.00","1,601.00",11:14,〇,0.7,-,0
5131.T,,5131,リンカーズ,0,東Ｇ,貸借,▼,239,18,8.14%,"1,104,800",221,250,221,11:30,〇,0.3,0.25,0
4420.T,,4420,イーソル,0,東Ｓ,貸借,▲,621,49,8.57%,"79,200",576,621,576,11:29,〇,-,-,"4,800"
219A.T,,219A,ＨＥＡＲＴＳＥＥＤ,0,東Ｇ,貸借,▲,"1,865.00",127,7.31%,"1,249,000","1,730.00","1,907.00","1,730.00",11:30,〇,2.8,0.05,0
7345.T,,7345,アイ・パートナーズフィナンシ,0,東Ｇ,信用,▲,606,42,7.45%,"5,400",563,610,563,11:30,〇,0.5,-,200
6590.T,,6590,芝浦メカトロニクス,0,東Ｐ,貸借,▲,"17,080.00","1,180.00",7.42%,"582,000","15,880.00","17,130.00","15,780.00",11:30,〇,-,0.7,0
5729.T,,5729,日本精鉱,0,東Ｓ,信用,▲,"16,230.00",900,5.87%,"71,100","15,120.00","16,700.00","15,100.00",11:30,〇,19,-,0
9215.T,,9215,ＣＡＳＹ,0,東Ｇ,信用,▲,"1,286.00",116,9.91%,"13,700","1,200.00","1,334.00","1,185.00",11:29,〇,0.8,-,"1,600"
3779.T,,3779,ジェイ・エスコムＨＬＤＧＳ,0,東Ｓ,信用,▲,196,13,7.10%,"133,800",183,200,183,11:29,〇,0.2,-,"9,100"
5256.T,,5256,Ｆｕｓｉｃ,0,東Ｇ,信用,▼,"2,900.00",190,7.01%,"9,000","2,715.00","2,909.00","2,715.00",11:27,〇,2.3,-,700
6521.T,,6521,オキサイド,0,東Ｇ,信用,▲,"2,044.00",161,8.55%,"83,700","1,915.00","2,066.00","1,903.00",11:30,〇,2.6,-,"3,900"
3267.T,,3267,フィル・カンパニー,0,東Ｓ,信用,▲,996,68,7.33%,"59,000",935,"1,015.00",935,11:28,〇,0.1,-,"3,800"
1382.T,,1382,ホーブ,0,東Ｓ,信用,▼,"1,999.00",161,8.76%,"5,900","1,878.00","2,010.00","1,878.00",11:18,〇,1.5,-,500
3446.T,,3446,ジェイテックコーポレーション,0,東Ｓ,貸借,▼,"1,548.00",93,6.39%,"76,500","1,455.00","1,553.00","1,452.00",11:30,〇,-,-,0
5243.T,,5243,ＮＯＴＥ,0,東Ｇ,信用,▼,"1,504.00",89,6.29%,"227,900","1,415.00","1,516.00","1,415.00",11:30,〇,3.8,-,0
8267.T,,8267,イオン,0,東Ｐ,貸借,▲,"2,039.00",160.5,8.54%,"14,932,100","1,918.50","2,084.00","1,880.00",11:30,〇,-,0.1,"727,700"
6232.T,,6232,ＡＣＳＬ,0,東Ｇ,貸借,▲,"1,147.00",69,6.40%,"686,300","1,080.00","1,149.00","1,080.00",11:30,〇,6.4,0.05,0
6378.T,,6378,木村化工機,0,東Ｓ,貸借,▲,"1,119.00",75,7.18%,"171,900","1,054.00","1,125.00","1,054.00",11:29,〇,-,-,"8,200"
3388.T,,3388,明治電機工業,0,東Ｐ,貸借,▼,"2,228.00",107,5.04%,"99,300","2,100.00","2,233.00","2,085.00",11:30,〇,-,-,"10,300"
5027.T,,5027,ＡＮＹＭＩＮＤＧＲＯＵＰ,0,東Ｇ,信用,▲,732,62,9.25%,"276,400",690,736,688,11:29,〇,0.3,-,0
6254.T,,6254,野村マイクロ・サイエンス,0,東Ｐ,貸借,▲,"3,430.00",185,5.70%,"351,000","3,240.00","3,450.00","3,235.00",11:30,〇,-,0.15,"8,100"
8065.T,,8065,佐藤商事,0,東Ｐ,貸借,▼,"2,208.00",122,5.85%,"36,100","2,086.00","2,213.00","2,086.00",11:30,〇,-,-,"9,900"
7692.T,,7692,アースインフィニティ,0,東Ｓ,信用,▲,109,6,5.83%,"740,700",103,109,103,11:28,〇,0.2,-,0
4385.T,,4385,メルカリ,0,東Ｐ,貸借,▲,"2,329.00",244.5,11.73%,"7,379,900","2,201.00","2,343.00","2,200.00",11:30,〇,-,-,"65,900"
6492.T,,6492,岡野バルブ,0,東Ｓ,信用,▲,"8,380.00",460,5.81%,"2,400","7,920.00","8,380.00","7,920.00",11:29,〇,5.4,-,500
6786.T,,6786,ＲＶＨ,0,東Ｓ,信用,▲,74,4,5.71%,"182,200",70,74,70,11:29,〇,0.1,-,0
3997.T,,3997,トレードワークス,0,東Ｓ,貸借,▼,287,12,4.36%,"502,700",272,289,271,11:29,〇,0.5,0.05,"12,600"
4493.T,,4493,サイバーセキュリティクラウド,0,東Ｇ,貸借,▲,"1,853.00",96,5.46%,"177,900","1,757.00","1,855.00","1,750.00",11:30,〇,-,-,"3,900"
1798.T,,1798,守谷商会,0,東Ｓ,信用,▲,"5,040.00",230,4.78%,"1,300","4,780.00","5,040.00","4,720.00",10:14,〇,4.3,-,200
3843.T,,3843,フリービット,0,東Ｐ,貸借,▲,"1,609.00",83,5.44%,"42,600","1,526.00","1,622.00","1,526.00",11:29,〇,-,-,"40,600"
4316.T,,4316,ビーマップ,0,東Ｇ,信用,▼,"1,110.00",37,3.45%,"57,500","1,053.00","1,125.00","1,053.00",11:29,〇,1.2,-,100
6516.T,,6516,山洋電気,0,東Ｐ,貸借,▲,"3,520.00",200,6.02%,"34,300","3,340.00","3,520.00","3,340.00",11:30,〇,-,-,"2,800"
2160.T,,2160,ジーエヌアイグループ,0,東Ｇ,貸借,▲,"2,488.00",107,4.49%,"875,700","2,362.00","2,490.00","2,355.00",11:30,〇,-,-,"13,500"
6022.T,,6022,赤阪鐵工所,0,東Ｓ,信用,▲,"3,375.00",180,5.63%,"7,700","3,205.00","3,420.00","3,200.00",11:22,〇,2.4,-,100
8237.T,,8237,松屋,0,東Ｐ,貸借,▲,"1,698.00",87,5.40%,"294,400","1,613.00","1,698.00","1,613.00",11:30,〇,-,0.1,"2,400"
9127.T,,9127,玉井商船,0,東Ｓ,信用,▼,"2,569.00",91,3.67%,"8,200","2,442.00","2,587.00","2,442.00",11:29,〇,0.7,-,0
4667.T,,4667,アイサンテクノロジー,0,東Ｓ,信用,▲,"1,578.00",92,6.19%,"37,900","1,500.00","1,596.00","1,500.00",11:30,〇,0.3,-,100
414A.T,,414A,オーバーラップホールディン,0,東Ｇ,信用,▼,"1,439.00",89,6.59%,"134,500","1,368.00","1,448.00","1,367.00",11:29,〇,1.3,-,"13,300"
1490.T,,1490,上場高配ベータヘッジ,0,東Ｐ,貸借,▼,"9,400.00","1,400.00",17.50%,360,"8,948.00","9,499.00","8,948.00",11:11,〇,5,-,0
2138.T,,2138,クルーズ,0,東Ｓ,貸借,▲,563,35,6.63%,"13,800",536,564,536,11:30,〇,-,-,600
6998.T,,6998,日本タングステン,0,東Ｓ,貸借,▲,"1,400.00",67,5.03%,"21,700","1,333.00","1,400.00","1,333.00",11:24,〇,1.1,-,300
319A.T,,319A,技術承継機構,0,東Ｇ,信用,▼,"8,810.00",460,5.51%,"74,200","8,390.00","8,830.00","8,360.00",11:30,〇,16.4,-,"1,200"
