code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
8912.T,,8912,エリアクエスト,0,東Ｓ,貸借,▼,201,-80,-28.47%,"1,033,600",201,205,201,9:35,〇,-,1,"18,000"
2334.T,,2334,イオレ,0,東Ｇ,信用,▲,"3,325.00",-675,-16.88%,"531,300","3,970.00","4,215.00","3,300.00",11:30,〇,7.1,-,0
2936.T,,2936,ベースフード,0,東Ｇ,貸借,▼,361,-69,-16.05%,"451,000",380,385,361,11:30,〇,1.2,0.05,"3,200"
3902.T,,3902,メディカル・データ・ビジ,0,東Ｐ,貸借,▼,460,-86,-15.75%,"511,600",472,472,451,11:30,〇,-,-,0
130A.T,,130A,ＶＥＲＩＴＡＳＩＮＳＩＬＩＣ,0,東Ｇ,信用,▼,567,-100,-14.99%,"77,100",567,567,567,11:25,〇,1.2,-,0
2086.T,,2086,ＮＺＡＭ上場投信ＳＰ５Ｈ,0,東Ｐ,貸借,▲,"2,728.50",-471.5,-14.73%,"1,270","2,724.50","2,728.50","2,724.00",10:45,✕,-,-,0
3139.T,,3139,ラクト・ジャパン,0,東Ｐ,貸借,▼,"3,445.00",-585,-14.52%,"460,400","3,470.00","3,485.00","3,390.00",11:30,〇,-,-,"4,600"
4176.T,,4176,ココナラ,0,東Ｇ,貸借,▼,409,-63,-13.35%,"1,787,100",430,442,395,11:30,〇,-,-,0
7036.T,,7036,イーエムネットジャパン,0,東Ｇ,信用,▲,"1,003.00",-145,-12.63%,"122,900","1,145.00","1,270.00",965,11:30,〇,0.6,-,800
4888.T,,4888,ステラファーマ,0,東Ｇ,信用,▲,313,-45,-12.57%,"986,100",350,350,299,11:30,〇,0.2,-,0
2791.T,,2791,大黒天物産,0,東Ｐ,貸借,▼,"6,170.00",-780,-11.22%,"188,800","6,430.00","6,510.00","6,130.00",11:30,〇,-,-,700
5987.T,,5987,オーネックス,0,東Ｓ,信用,▲,"2,105.00",-261,-11.03%,"4,700","2,166.00","2,166.00","2,054.00",11:18,〇,0.8,-,600
5246.T,,5246,ＥＬＥＭＥＮＴＳ,0,東Ｇ,信用,▼,838,-102,-10.85%,"1,608,900",940,959,818,11:30,〇,2.2,-,0
280A.T,,280A,ＴＭＨ,0,東Ｇ,信用,▼,"1,052.00",-123,-10.47%,"50,000","1,058.00","1,092.00","1,026.00",11:30,〇,1.3,-,"1,000"
8918.T,,8918,ランド,0,東Ｓ,信用,▼,9,-1,-10.00%,"114,290,400",9,10,9,11:30,〇,0.1,-,"3,884,600"
4343.T,,4343,イオンファンタジー,0,東Ｐ,貸借,▼,"3,115.00",-345,-9.97%,"243,300","3,275.00","3,275.00","3,100.00",11:30,〇,-,0.15,"1,200"
4198.T,,4198,テンダ,0,東Ｓ,信用,▲,640,-70,-9.86%,"42,200",635,648,617,11:30,〇,0.1,-,0
3370.T,,3370,フジタコーポレーション,0,東Ｓ,信用,▼,480,-51,-9.60%,"1,027,900",540,569,449,11:30,〇,0.4,-,0
3349.T,,3349,コスモス薬品,0,東Ｐ,貸借,▲,"7,582.00",-802,-9.57%,"1,216,900","7,634.00","7,716.00","7,291.00",11:30,〇,-,-,"6,100"
4429.T,,4429,リックソフト,0,東Ｇ,貸借,▲,"1,068.00",-113,-9.57%,"33,300","1,061.00","1,100.00","1,027.00",11:30,〇,-,-,200
3536.T,,3536,アクサスホールディングス,0,東Ｓ,信用,▼,140,-13,-8.50%,"1,411,200",144,146,135,11:30,〇,0.1,-,"62,600"
2962.T,,2962,テクニスコ,0,東Ｓ,信用,▼,411,-37,-8.26%,"252,800",434,473,405,11:30,〇,0.7,-,"4,800"
3835.T,,3835,ｅＢＡＳＥ,0,東Ｐ,貸借,▼,453,-30,-6.21%,"402,600",443,455,442,11:30,〇,-,-,"6,400"
8105.T,,8105,堀田丸正,0,東Ｓ,信用,▼,440,-29,-6.18%,"1,414,200",477,482,440,11:30,〇,1.3,-,0
7085.T,,7085,カーブスホールディングス,0,東Ｐ,貸借,▼,781,-49,-5.90%,"538,800",800,818,780,11:30,〇,-,-,"36,000"
7607.T,,7607,進和,0,東Ｐ,貸借,▼,"3,040.00",-185,-5.74%,"55,000","3,060.00","3,090.00","3,010.00",11:30,〇,-,-,"6,200"
2901.T,,2901,ウェルディッシュ,0,東Ｓ,信用,▲,690,-40,-5.48%,"153,800",714,714,686,11:19,〇,1.5,-,"3,400"
1407.T,,1407,ウエストホールディングス,0,東Ｓ,貸借,▲,"1,769.00",-101,-5.40%,"669,700","1,872.00","1,924.00","1,742.00",11:30,〇,-,-,"5,300"
9240.T,,9240,デリバリーコンサルティング,0,東Ｇ,信用,▲,739,-41,-5.26%,"495,400",765,772,666,11:29,〇,0.6,-,"8,100"
5952.T,,5952,アマテイ,0,東Ｓ,信用,▲,202,-11,-5.16%,"1,828,700",207,229,198,11:30,〇,0.2,-,0
6323.T,,6323,ローツェ,0,東Ｐ,貸借,▼,"2,294.00",-115,-4.77%,"2,608,600","2,395.00","2,411.50","2,254.00",11:30,〇,-,-,"13,300"
6433.T,,6433,ヒーハイスト,0,東Ｓ,信用,▼,560,-28,-4.76%,"91,000",580,588,556,11:30,〇,0.4,-,"18,500"
7370.T,,7370,Ｅｎｊｉｎ,0,東Ｇ,貸借,▼,840,-41,-4.65%,"56,300",854,862,840,11:30,〇,-,-,0
340A.T,,340A,ジグザグ,0,東Ｇ,信用,▲,416,-20,-4.59%,"220,600",418,424,400,11:30,〇,0.4,-,"5,800"
